bus_factor.Time,bus_factor,bus_factor.name
2022-06-01,151.0,coolsnowwolf_lede
2022-06-01,338.0,cypressio_cypress
2022-06-01,41.0,darktableorg_darktable
2022-06-01,41.0,DataDog_datadogagent
2022-06-01,141.0,dbeaver_dbeaver
2022-06-01,192.0,DefinitelyTyped_DefinitelyTyped
2022-06-01,43.0,demisto_content
2022-06-01,50.0,denoland_deno
2022-06-01,92.0,departmentofveteransaffairs_va.govteam
2022-06-01,130.0,desktop_desktop
2022-06-01,47.0,directus_directus
2022-06-01,100.0,docker_docs
2022-06-01,96.0,dotnet_aspnetcore
2022-06-01,123.0,dotnet_AspNetCore.Docs
2022-06-01,89.0,dotnet_docs
2022-06-01,134.0,dotnet_efcore
2022-06-01,130.0,dotnet_maui
2022-06-01,22.0,dotnet_roslyn
2022-06-01,100.0,dotnet_runtime
2022-06-01,213.0,education_GitHubGraduation2022
2022-06-01,38.0,elastic_elasticsearch
2022-06-01,87.0,elastic_kibana
2022-06-01,169.0,electron_electron
2022-06-01,236.0,elementplus_elementplus
2022-06-01,133.0,elementor_elementor
2022-06-01,41.0,envoyproxy_envoy
2022-06-01,193.0,espressif_espidf
2022-06-01,33.0,ethereum_ethereumorgwebsite
2022-06-01,32.0,Expensify_App
2022-06-01,254.0,expo_expo
2022-06-01,134.0,facebook_react
2022-06-01,234.0,facebook_reactnative
2022-06-01,145.0,filecoinproject_filecoinpluslargedatasets
2022-06-01,105.0,filescommunity_Files
2022-06-01,32.0,firebase_firebaseandroidsdk
2022-06-01,124.0,firebase_flutterfire
2022-06-01,546.0,firstcontributions_firstcontributions
2022-06-01,26.0,flathub_flathub
2022-06-01,30.0,flutter_engine
2022-06-01,964.0,flutter_flutter
2022-06-01,13.0,flutter_plugins
2022-06-01,13.0,flybywiresim_a32nx
2022-06-01,255.0,freddier_hyperblog
2022-06-01,99.0,gatsbyjs_gatsby
2022-06-01,43.0,gentoo_gentoo
2022-06-01,31.0,getsentry_sentry
2022-06-01,18.0,github_codeql
2022-06-01,56.0,github_docs
2022-06-01,23.0,gitpodio_gitpod
2022-06-01,30.0,gogitea_gitea
2022-06-01,194.0,godotengine_godot
2022-06-01,368.0,golang_go
2022-06-01,497.0,google_itcertautomationpractice
2022-06-01,2.0,googletest_signclav2proberepo
2022-06-01,30.0,GoogleChrome_developer.chrome.com
2022-06-01,30.0,gradle_gradle
2022-06-01,94.0,grafana_grafana
2022-06-01,39.0,grafana_loki
2022-06-01,25.0,gravitational_teleport
2022-06-01,26.0,grpc_grpc
2022-06-01,238.0,hashicorp_terraformprovideraws
2022-06-01,257.0,hashicorp_terraformproviderazurerm
2022-06-01,36.0,hashicorp_vault
2022-06-01,63.0,helium_denylist
2022-06-01,90.0,helixeditor_helix
2022-06-01,1047.0,homeassistant_core
2022-06-01,136.0,homeassistant_frontend
2022-06-01,84.0,homeassistant_homeassistant.io
2022-06-01,57.0,Homebrew_homebrewcask
2022-06-01,93.0,Homebrew_homebrewcore
2022-06-01,117.0,huggingface_transformers
2022-06-01,1.0,idsb3t1_KEEPpipelinetestsresources
2022-06-01,39.0,influxdata_telegraf
2022-06-01,31.0,IntelRealSense_librealsense
2022-06-01,44.0,istio_istio
2022-06-01,1.0,JacksonKearl_testissues
2022-06-01,93.0,JetBrains_swot
2022-06-01,41.0,jitsi_jitsimeet
2022-06-01,143.0,jlord_patchwork
2022-06-01,28.0,joomla_joomlacms
2022-06-01,43.0,JuliaLang_julia
2022-06-01,8.0,JuliaRegistries_General
