change_request_response_time.Time,change_request_response_time,change_request_response_time.name
2015-08-01,297.6,godotengine_godot
2015-08-01,0.0,golang_go
2015-08-01,27.75,gradle_gradle
2015-08-01,24.87,grafana_grafana
2015-08-01,1.07,grpc_grpc
2015-08-01,1.4,hashicorp_vault
2015-08-01,0.51,homeassistant_core
2015-08-01,0.0,homeassistant_frontend
2015-08-01,0.12,homeassistant_homeassistant.io
2015-08-01,0.09,Homebrew_homebrewcask
2015-08-01,0.28,influxdata_telegraf
2015-08-01,40.46,JetBrains_swot
2015-08-01,2.83,jitsi_jitsimeet
2015-08-01,8.53,jlord_patchwork
2015-08-01,3.62,joomla_joomlacms
2015-08-01,3.69,JuliaLang_julia
2015-08-01,1.18,keycloak_keycloak
2015-08-01,3.43,kubernetes_kubernetes
2015-08-01,0.27,laravel_framework
2015-08-01,18.22,magento_magento2
2015-08-01,1.23,MarlinFirmware_Marlin
2015-08-01,1.78,matplotlib_matplotlib
